p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
21,7,20,10,21,19,22,16,15,20
16,16,15,19,15,16,16,16,7,10
4,15,3,9,14,8,7,4,15,14
19,9,9,19,19,20,20,9,20,4
10,21,25,21,20,22,26,20,25,21
19,15,15,19,19,16,14,15,16,19
15,26,26,21,27,26,20,25,27,26
19,22,21,20,16,20,21,19,19,19
13,13,13,19,10,19,15,21,25,7
13,7,3,13,13,14,14,13,14,13
9,10,13,1,13,8,10,13,9,7
31,16,27,26,31,32,26,31,22,31
15,25,27,27,26,28,26,26,19,31
13,9,10,13,13,14,13,13,13,13
40,28,40,22,33,33,33,46,33,34
13,13,3,14,14,13,13,10,13,3
25,25,25,16,25,22,15,25,21,25
15,21,10,19,10,19,20,15,15,10
20,15,19,20,21,-1,20,21,19,13
20,21,10,21,19,20,25,19,21,20
4,14,19,15,13,16,20,13,15,10
21,21,21,26,25,19,22,21,25,16
34,31,34,32,33,22,31,34,32,19
14,16,19,20,9,10,15,16,14,15
14,15,20,13,13,15,14,10,14,7
25,16,25,21,22,22,15,10,19,25
4,8,8,4,13,8,7,9,8,8
22,20,21,21,20,20,19,19,19,19
13,13,13,9,14,9,10,9,10,14
16,14,16,15,7,15,16,19,15,10
8,13,9,8,8,9,3,13,3,10
19,21,16,21,10,20,21,7,21,20
9,14,19,4,7,14,14,14,10,13
10,9,13,16,13,10,13,19,10,14
19,14,13,14,19,19,10,15,9,13
13,13,16,13,14,16,14,14,10,13
19,19,8,15,7,16,15,13,19,20
21,27,25,25,20,31,25,21,25,20
31,27,26,25,25,27,25,13,26,22
15,25,16,27,26,26,26,31,27,10
19,22,22,16,19,16,20,20,21,16
13,14,9,7,13,8,13,14,16,7
15,15,14,14,15,14,20,14,13,19
13,10,8,7,13,10,10,15,13,9
19,3,20,19,25,19,21,16,21,21
20,25,22,20,16,20,19,20,20,21
4,19,7,14,14,15,15,14,19,16
25,25,25,25,20,21,26,25,21,25
22,25,21,22,21,25,21,21,19,22
22,16,21,21,20,21,21,19,21,21
15,14,7,15,19,13,19,20,21,15
13,-1,-1,13,13,13,15,10,15,14
19,20,21,22,14,19,22,19,19,21
15,13,14,14,13,14,15,14,7,13
4,14,15,13,16,15,14,14,14,7
19,4,13,4,7,16,13,15,14,15
20,25,21,22,19,21,21,20,7,25
28,27,28,27,22,25,31,27,28,27
21,10,20,19,19,19,22,19,19,15
16,4,22,20,19,16,16,20,19,13
14,13,13,15,13,14,16,14,8,19
20,20,15,14,16,15,19,16,13,15
15,15,4,10,14,14,14,14,14,14
16,20,15,13,19,15,19,19,20,14
20,21,19,21,20,21,19,10,20,19
14,13,13,8,13,13,15,14,13,13
19,16,19,19,26,14,4,20,19,20
19,15,14,13,14,15,4,-1,21,8
16,15,15,16,20,14,21,4,19,10
14,13,14,4,13,14,9,13,10,13
9,20,13,19,14,19,16,10,9,21
19,19,16,15,19,21,9,10,22,20
20,13,14,20,20,21,19,20,19,20
21,16,19,9,16,9,21,10,19,13
14,19,20,20,9,16,20,16,19,14
16,19,20,15,19,19,25,20,19,20
15,19,19,16,16,15,16,16,19,13
7,10,9,13,14,13,3,7,10,8
27,27,16,19,27,26,26,31,26,31
13,7,13,13,2,13,14,4,9,13
4,9,9,8,9,8,8,8,14,13
19,7,13,19,14,14,14,9,16,14
9,8,8,8,9,7,7,4,9,8
